Year,Type,Size,Brand,Model,Color,Price
"2020","Electric","17""","QuietKat","Ranger 750W","Charcoal","2699"
"2020","Electric","17""","QuietKat","Warrior 750W","QK Camo","3899"
"2020","Electric","17""","QuietKat","Apex 750W","Charcoal","4629"
"2020","Electric","15""","QuietKat","Ripper SS","QK Camo","2399"
"2021","Mountain","Small","Pivot","Mach 4 SL Race XT","Cherry","5299"
"2021","Electric","Large","Pivot","Shuttle Team XTR","Green","10999"
"2021","Electric","Large","Santa Cruz","Heckler CC R-Kit MX","Fog","7699"
"2021","Electric","Large","Santa Cruz","Heckler MX S-Kit","Fog","9249"
"2021","Electric","Medium","Santa Cruz","Heckler MX S-Kit","Fog","9249"
"2021","Electric","X-Large","Santa Cruz","Heckler MX S-Kit","Fog","9249"
"2021","Mountain","Large","Santa Cruz","Nomad C S-Kit 27.5","Adder Green","6049"
"2021","Mountain","X-Large","Santa Cruz","Nomad C S-Kit 27.5","Oxblood","6050"
"2022","Mountain","Medium-Large","Trek","Marlin 5","Lithium Grey","640"
"2022","Mountain","Medium-Large","Trek","Marlin 5","Volt to Miami Green","640"
"2022","Mountain","X-Small","Trek","Marlin 5","Azure","640"
"2021","Electric","Large","Santa Cruz","Heckler CC R-Kit 27.5","Yellowjacket","7699"
"2021","Electric","Large","Cannondale","Moterra Neo 3","Matte Black","5800"
"2021","Electric","Medium","Cannondale","Moterra Neo 3","Matte Black","5800"
"2021","Electric","X-Large","Cannondale","Moterra Neo 3","Matte Black","5800"
"2021","Mountain","Large","Cannondale","Trail 5","Graphite","950"
"2021","Mountain","Medium","Trek","Top Fuel 9.8 GX","Raw Carbon/Voodoo Black","6000"
"2021","Mountain","X-Large","Trek","Top Fuel 9.8 GX","Red/Matte Carbon Smoke","6000"
"2021","Mountain","Medium-Large","Trek","Fuel EX 9.8 GX 29","Lithium Grey/Factory Orange","5500"
"2021","Mountain","Large","Trek","Fuel EX 9.8 GX 29","Lithium Grey/Factory Orange","5500"
"2020","Electric","Medium","Electra","Vale Go! ","Indigo","3300"
"2020","Electric","Medium","Electra","Vale Go! ","White","3300"
"2020","Electric","Small","Trek","Rail 7 SLX/XT","Volt/Teal","6500"
"2020","Electric","Medium","Cannondale","Moterra Neo SE","Emerald","8500"
"2021","Electric","Large","Trek","Verve+ 3","Black","3150"
"2020","Mountain","Large","Cannondale","Scalpel Carbon SE LTD","Mantis","7500"
"2021","Electric","Large","Cannondale","Topstone Neo 5 700","Black Pearl","5000"
"2020","Hybrid","XX-Large","Trek","FX 2 DISC","Blue","630"
"2021","Electric","Medium","Trek","Verve+ 2 Lowstep","Azure","2650"
"2021","Mountain","Medium","Trek","Supercaliber 9.8","Radioactive Red","6300"
"2021","Hybrid","Medium","Trek","FX Sport","Black","2200"
"2020","Mountain","Medium","Santa Cruz","Megatower C S-Kit 29","Green","5400"
"2020","Road","54","Trek","Domane SL 7 E-Tap","Charcoal","7000"
"2021","Electric","X-Large","Cannondale","Topstone Neo 5 700","Black Pearl","5000"
"2020","Mountain","Small","Trek","Fuel EX 9.9 XO1","Miami Green/Teal Fade","7500"
"2020","Cyclocross/Gravel","Small","Pivot","Vault Ultegra ","Slate Blue","5199"
"2020","Mountain","Small","Trek","Fuel EX 9.8 GX","Raw Carbon/Rage Red","5500"
"2020","Electric","Small","Trek","Allant+ 8S Stagger","Matte Gunmetal","4300"
"2021","Fat","Large","Trek","Farley 7","Roarange","2730"
"2021","Mountain","Large","Cannondale","Trail 7","Black","700"
"2021","Electric","X-Large","Trek","Powerfly 4","Lithium Grey","3700"
"2021","Electric","Medium","Trek","Powerfly 4","Factory Orange","3700"
"2021","Electric","Large","Trek","Powerfly 4","Factory Orange/Lithium Grey","3700"
"2019","Electric","Large","Surly","Big Easy Cargo","Tan","5000"
"2018","Road","46","Cannondale","Super X SE","Orange","4000"
"2021","Electric","Large","Cannondale","Tesoro Neo X 2 29","Midnight Blue","4100"
"2021","Electric","Medium","Cannondale","Tesoro Neo X 2 29","Midnight Blue","4100"
"2021","Electric","Small","Cannondale","Tesoro Neo X 2 29","Midnight Blue","4100"
"2020","Road","48","Cannondale","Synapse Hi-Mod Ultegra Di2","Champagne","7000"
"2020","Road","54","Cannondale","Synapse Carbon Ultegra","Graphite","3500"
"2020","Mountain","Large","Cannondale","Habit Carbon 3","Emerald","4200"
"2020","Mountain","Medium","Trek","Marlin 5 WSD 29","Purple","600"
"2019","Electric","58","Trek","Domane+ ","Black/Viper Red","7000"
"2019","Road","60","Trek","Emonda ALR 4 DISC","Black","1680"
"2019","Mountain","Small","Trek","Top Fuel 9.8 SL","Carbon Smoke","5500"
"2021","Mountain","Large","Yeti","Arc T1 EXC","Raw Grey","6100"
"2021","Mountain","Medium","Yeti","SB150 T3 EXC","Turquoise","10500"
"2021","Mountain","X-Small","Juliana","Furtado C R-Kit 27.5","Spicy Redwood","4549"
"2020","Electric","Medium","Trek","Allant+ 7 Lowstep","Nautical Blue","3600"
"2020","Electric","Large","Trek","Allant+ 7 Lowstep","Nautical","3600"
"2018","Electric","16","Trek","Neko+ ","Black Pearl","3000"
"2021","Electric","Medium","Trek","Verve+ 2","Metallic Gunmetal","2650"
"2021","Electric","Medium","Trek","Verve+ 2","Alpine Blue","2650"
"2021","Electric","Large","Trek","Verve+ 2","Matte Metallic Gunmetal","2650"
"2021","Electric","Large","Trek","Verve+ 2","Alpine Blue","2650"
"2021","Electric","Small","Trek","Verve+ 2 Lowstep","Metallic Gunmetal","2650"
"2020","Electric","Medium","Trek","Verve+ 2 Lowstep","Gunmetal","2650"
"2020","Electric","Large","Trek","Allant+ 7S","Quicksilver","3900"
"2021","Electric","Medium","Trek","Allant+ 7S","Nautical Navy","3900"
"2020","Electric","Large","Trek","Allant+ 7S","Nautical Navy","3900"
"2020","Electric","Small","Trek","Allant+ 7S Stagger","Quicksilver","3900"
"2020","Electric","Small","Trek","Allant+ 7S Stagger","Nautical Navy","3900"
"2020","Mountain","Medium","Pivot","Switchblade Team XX1 AXS","Blue","10499"
"2021","Mountain","Medium","Santa Cruz","Hightower C S-Kit 29","Ember","5749"
"2021","Cyclocross/Gravel","Medium","Santa Cruz","Stigmata CC 700C GRX","Midnight Green","4649"
"2021","Cyclocross/Gravel","X-Large","Santa Cruz","Stigmata CC Force-2X 700C","Moonstone Blue","5400"
"2021","Mountain","Large","Santa Cruz","Tallboy C S-Kit 29","Ivory","5650"
"2021","Electric","54","Trek","Domane+ ALR ","Crimson/Black","4600"
"2021","Electric","56","Trek","Domane+ ALR","Crimson/Black","4600"
"2021","Mountain","X-Large","Yeti","SB115 T3 AXS","Anthracite","9200"
"2021","Mountain","Medium","Yeti","SB115 T3 AXS EXC","Anthracite","9200"
"2021","Mountain","Large","Yeti","SB130 C2 AXS","Turquoise","6800"
"2021","Mountain","Large","Yeti","SB130 T2 TLR X01 EXC AXS","Brick","9300"
"2021","Mountain","Large","Yeti","SB130 X01 TLR EXC AXS","Dark Anthracite","9300"
"2021","Mountain","X-Large","Yeti","SB140 C2","Smoke","5900"
"2021","Mountain","Small","Yeti","SB140 C2","Inferno","5900"
"2021","Mountain","X-Large","Yeti","SB140 T2","Turquoise","7800"
"2021","Mountain","X-Small","Yeti","SB140 T2","Turquoise","7800"
"2021","Mountain","X-Small","Yeti","SB140 T3","Smoke","9000"
"2021","Mountain","Large","Yeti","SB140 T2 EXC AXS","Ron","9400"
"2021","Mountain","Large","Yeti","Arc Anniversary","Anniversary","9900"
